,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
190,10,7.0,1.0,1.0,1.0,0.0
191,11,7.0,1.0,1.0,1.0,0.0
192,12,7.0,1.0,1.0,1.0,0.0
193,13,7.0,1.0,1.0,1.0,0.0
194,14,7.0,1.0,1.0,1.0,0.0
195,15,7.0,1.0,1.0,1.0,0.0
196,16,7.0,1.0,1.0,1.0,0.0
197,17,7.0,1.0,1.0,1.0,0.0
198,18,7.0,1.0,1.0,1.0,0.0
199,19,7.0,1.0,1.0,1.0,0.0
200,0,0.0,0.0,0.0,0.0,3.394047975540161
201,1,1.0,0.005319148767739534,0.0,0.0,3.394047975540161
202,2,2.0,0.010638297535479069,0.0,0.0,3.394047975540161
203,3,3.0,0.01595744676887989,0.0,0.0,3.394047975540161
204,4,4.0,0.021276595070958138,0.0,0.0,3.394047975540161
205,5,5.0,0.026595745235681534,0.0,0.0,3.394047975540161
206,6,6.0,0.03191489353775978,0.0,0.0,3.394047975540161
207,7,7.0,0.03723404183983803,0.0,0.0,3.394047975540161
208,8,8.0,0.042553190141916275,0.0,0.0,2.8300042152404785
209,9,9.0,0.04787234216928482,0.0,0.0,2.8300042152404785
210,10,10.0,0.05319149047136307,1.0,1.0,0.2572888135910034
211,11,11.0,0.058510638773441315,1.0,1.0,0.2572888135910034
212,12,12.0,0.06382978707551956,1.0,1.0,0.2572888135910034
213,13,13.0,0.06914893537759781,1.0,1.0,0.2572888135910034
214,14,14.0,0.07446808367967606,1.0,1.0,0.04597153142094612
215,15,15.0,0.0797872319817543,1.0,1.0,0.04597153142094612
216,16,16.0,0.08510638028383255,1.0,1.0,0.04597153142094612
217,17,17.0,0.0904255285859108,1.0,1.0,0.04597153142094612
218,18,18.0,0.09574468433856964,1.0,1.0,0.04597153142094612
219,19,19.0,0.10106383264064789,1.0,1.0,0.04597153142094612
220,0,0.0,0.0,0.0,0.0,0.9357647895812988
221,1,1.0,0.04545454680919647,0.0,0.0,0.9357647895812988
222,2,2.0,0.09090909361839294,0.0,0.0,0.9357647895812988
223,3,3.0,0.13636364042758942,0.0,0.0,0.9357647895812988
224,4,4.0,0.1818181872367859,1.0,1.0,0.0387505441904068
225,5,5.0,0.22727273404598236,1.0,1.0,0.036296747624874115
226,6,6.0,0.27272728085517883,0.0,0.0,1.4839046001434326
227,7,7.0,0.3181818127632141,1.0,1.0,0.0023105572909116745
228,8,8.0,0.3636363744735718,1.0,1.0,0.0023105572909116745
229,9,9.0,0.40909090638160706,1.0,1.0,0.0023105572909116745
230,10,10.0,0.4545454680919647,1.0,1.0,0.0023105572909116745
231,11,11.0,0.5,1.0,1.0,0.0008562337607145309
