,sparsity,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
308,0.4,0.0,0.0,,1.0,-7.450580596923828e-09
309,0.45,0.0,0.0,,1.0,-7.450580596923828e-09
310,0.5,0.0,0.0,,1.0,-7.450580596923828e-09
311,0.55,0.0,0.0,,1.0,-7.450580596923828e-09
312,0.6000000000000001,0.0,0.0,,1.0,-7.450580596923828e-09
313,0.65,0.0,0.0,,1.0,-7.450580596923828e-09
314,0.7000000000000001,0.0,0.0,,1.0,-7.450580596923828e-09
315,0.75,0.0,0.0,,1.0,-7.450580596923828e-09
316,0.8,0.0,0.0,,1.0,-7.450580596923828e-09
317,0.8500000000000001,0.0,0.0,,1.0,-7.450580596923828e-09
318,0.9,0.0,0.0,,1.0,-7.450580596923828e-09
319,0.9500000000000001,0.0,0.0,,1.0,-7.450580596923828e-09
320,0.0,0.0,0.0,,1.0,1.4901161193847656e-08
321,0.05,0.0,0.0,,1.0,1.4901161193847656e-08
322,0.1,0.0,0.0,,1.0,1.4901161193847656e-08
323,0.15000000000000002,0.0,0.0,,1.0,1.4901161193847656e-08
324,0.2,0.0,0.0,,1.0,1.4901161193847656e-08
325,0.25,0.0,0.0,,1.0,1.4901161193847656e-08
326,0.30000000000000004,0.0,0.0,,1.0,1.4901161193847656e-08
327,0.35000000000000003,0.0,0.0,,1.0,1.4901161193847656e-08
328,0.4,0.0,0.0,,1.0,1.4901161193847656e-08
329,0.45,0.0,0.0,,1.0,1.4901161193847656e-08
330,0.5,0.0,0.0,,1.0,1.4901161193847656e-08
331,0.55,0.0,0.0,,1.0,1.4901161193847656e-08
332,0.6000000000000001,0.0,0.0,,1.0,1.4901161193847656e-08
333,0.65,0.0,0.0,,1.0,1.4901161193847656e-08
334,0.7000000000000001,0.0,0.0,,1.0,1.4901161193847656e-08
335,0.75,0.0,0.0,,1.0,1.4901161193847656e-08
336,0.8,0.0,0.0,,1.0,1.4901161193847656e-08
337,0.8500000000000001,0.0,0.0,,1.0,1.4901161193847656e-08
338,0.9,0.0,0.0,,1.0,1.4901161193847656e-08
339,0.9500000000000001,0.0,0.0,,1.0,1.4901161193847656e-08
340,0.0,0.0,0.0,,1.0,-5.21540641784668e-08
341,0.05,0.0,0.0,,1.0,-5.21540641784668e-08
342,0.1,0.0,0.0,,1.0,-5.21540641784668e-08
343,0.15000000000000002,0.0,0.0,,1.0,-5.21540641784668e-08
344,0.2,0.0,0.0,,1.0,-5.21540641784668e-08
345,0.25,0.0,0.0,,1.0,-5.21540641784668e-08
346,0.30000000000000004,0.0,0.0,,1.0,-5.21540641784668e-08
347,0.35000000000000003,0.0,0.0,,1.0,-5.21540641784668e-08
348,0.4,0.0,0.0,,1.0,-5.21540641784668e-08
349,0.45,0.0,0.0,,1.0,-5.21540641784668e-08
350,0.5,0.0,0.0,,1.0,-5.21540641784668e-08
351,0.55,0.0,0.0,,1.0,-5.21540641784668e-08
352,0.6000000000000001,0.0,0.0,,1.0,-5.21540641784668e-08
353,0.65,0.0,0.0,,1.0,-5.21540641784668e-08
354,0.7000000000000001,0.0,0.0,,1.0,-5.21540641784668e-08
355,0.75,0.0,0.0,,1.0,-5.21540641784668e-08
356,0.8,0.0,0.0,,1.0,-5.21540641784668e-08
357,0.8500000000000001,0.0,0.0,,1.0,-5.21540641784668e-08
358,0.9,0.0,0.0,,1.0,-5.21540641784668e-08
359,0.9500000000000001,0.0,0.0,,1.0,-5.21540641784668e-08
360,0.0,0.0,0.0,,1.0,7.450580596923828e-08
361,0.05,0.0,0.0,,1.0,7.450580596923828e-08
362,0.1,0.0,0.0,,1.0,7.450580596923828e-08
363,0.15000000000000002,0.0,0.0,,1.0,7.450580596923828e-08
364,0.2,0.0,0.0,,1.0,7.450580596923828e-08
365,0.25,0.0,0.0,,1.0,7.450580596923828e-08
366,0.30000000000000004,0.0,0.0,,1.0,7.450580596923828e-08
367,0.35000000000000003,0.0,0.0,,1.0,7.450580596923828e-08
368,0.4,0.0,0.0,,1.0,7.450580596923828e-08
369,0.45,0.0,0.0,,1.0,7.450580596923828e-08
370,0.5,0.0,0.0,,1.0,7.450580596923828e-08
371,0.55,0.0,0.0,,1.0,7.450580596923828e-08
372,0.6000000000000001,0.0,0.0,,1.0,7.450580596923828e-08
373,0.65,0.0,0.0,,1.0,7.450580596923828e-08
374,0.7000000000000001,0.0,0.0,,1.0,7.450580596923828e-08
375,0.75,0.0,0.0,,1.0,7.450580596923828e-08
376,0.8,0.0,0.0,,1.0,7.450580596923828e-08
377,0.8500000000000001,0.0,0.0,,1.0,7.450580596923828e-08
378,0.9,0.0,0.0,,1.0,7.450580596923828e-08
379,0.9500000000000001,0.0,0.0,,1.0,7.450580596923828e-08
