,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
335,15,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
336,16,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
337,17,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
338,18,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
339,19,6.0,1.0,1.0,1.0,-1.1175870895385742e-08
340,0,0.0,0.0,0.0,0.0,4.221336364746094
341,1,1.0,0.1428571492433548,0.0,0.0,4.385486602783203
342,2,2.0,0.2857142984867096,0.0,0.0,3.8059866428375244
343,3,3.0,0.4285714328289032,0.0,0.0,3.3637518882751465
344,4,4.0,0.5714285969734192,0.0,0.0,2.1643309593200684
345,5,5.0,0.7142857313156128,1.0,1.0,0.014910418540239334
346,6,6.0,0.8571428656578064,1.0,1.0,1.424923539161682e-07
347,7,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
348,8,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
349,9,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
350,10,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
351,11,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
352,12,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
353,13,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
354,14,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
355,15,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
356,16,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
357,17,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
358,18,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
359,19,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
360,0,0.0,0.0,0.0,0.0,4.231142044067383
361,1,1.0,0.1111111119389534,0.0,0.0,4.395471096038818
362,2,2.0,0.2222222238779068,0.0,0.0,4.271275997161865
363,3,3.0,0.3333333432674408,0.0,0.0,3.372614860534668
364,4,4.0,0.4444444477558136,0.0,0.0,2.1718156337738037
365,5,5.0,0.5555555820465088,1.0,1.0,0.0165693461894989
366,6,6.0,0.6666666865348816,1.0,1.0,0.1683027595281601
367,7,7.0,0.7777777910232544,1.0,1.0,0.0009056348353624344
368,8,8.0,0.8888888955116272,1.0,1.0,2.277083694934845e-07
369,9,9.0,1.0,1.0,1.0,0.0
370,10,9.0,1.0,1.0,1.0,0.0
371,11,9.0,1.0,1.0,1.0,0.0
372,12,9.0,1.0,1.0,1.0,0.0
373,13,9.0,1.0,1.0,1.0,0.0
374,14,9.0,1.0,1.0,1.0,0.0
375,15,9.0,1.0,1.0,1.0,0.0
376,16,9.0,1.0,1.0,1.0,0.0
377,17,9.0,1.0,1.0,1.0,0.0
